JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Sat Sep 03 2016 09:20:09 GMT-0700 (Pacific Daylight Time)
ASIN, Product Name, Brand, Seller, Category, Price, Fees, Net, Weight (lbs), Product Tier, Reviews, Avg. Rating, Rank, Est. Monthly Sales, Est. Monthly Revenue, LQS, Number Sellers
B00NFYF6M0 ,""I Can Do Everything Through Him" Turquoise & Brown Bible / Book Cover - Philippians 4:13" ,"Christian Art Gifts" ,"Amazon.com","Office Products","19.99","5.34","14.649999999999999","0.55","Standard (Large)","11","5","73850","14","279.85999999999996","45","13",
B00L3M1B5C ,""I Can Do Everything Through Him" Turquoise & Brown Bible / Book Cover - Philippians 4:13 (Large)" ,"Christian Art Gifts" ,"Amazon.com","Office Products","15.78","5.67","10.11","N.A.","Standard (Large)","11","5","380285","N.A.","N.A.","47","14",
B009NW2I9C ,""I Know the Plans" Two-tone Bible / Book Cover - Jeremiah 29:11" ,"Christian Art Gifts" ,"Amazon.com","Office Products","16.05","5.4","10.65","0.5","Standard (Large)","283","4.7","19674","70","1123.5","42","13",
B009NW31BG ,""On Wings Like Eagles" Two-tone Bible / Book Cover - Isaiah 40:31" ,"Christian Art Gifts" ,"Amazon.com","Office Products","15.59","5.4","10.19","0.5","Standard (Large)","100","4.4","91213","10","155.9","41","12",
B003010POM ,""On Wings Like Eagles" Two-tone Bible / Book Cover - Isaiah 40:31 (Large)" ,"Christian Art Gifts" ,"Amazon.com","Office Products","15.51","5.35","10.16","N.A.","Standard (Large)","99","4.4","258926","N.A.","N.A.","43","15",
B0021AEMEW ,""Prayer Matters - Lord's Prayer" Scripture Pen(TM) 6 Pen Pack" ,"Greeting Pen" ,"Amazon.com","Office Products","18.17","5.28","12.89","0.2","Standard (Small)","4","4.5","98446","8","145.36","37","1",
B000FDNCBG ,""Rolodex 62536 Wood Tones Magazine File  3 1/2""W x 10 1/4""D x 11 3/4""H  Black"" ,"Rolodex" ,"Amazon.com in easy-to-open packaging","Office Products","15.29","7.59","7.699999999999999","3","Standard (Large)","20","4.3","43626","32","489.28","39","36",
B009NW2ZR2 ,""Stand firm in the Lord" Two-tone Bible / Book Cover - Philippians 4:1" ,"Christian Art Gifts" ,"Amazon.com","Office Products","15.66","5.4","10.26","0.5","Standard (Large)","161","4.6","29761","60","939.6","37","14",
B003JAH9WU ,""Stand firm in the Lord" Two-tone Bible / Book Cover - Philippians 4:1 (Medium)" ,"Christian Art Gifts" ,"Amazon.com","Office Products","19.99","5.04","14.95","N.A.","Standard (Large)","162","4.6","319252","N.A.","N.A.","40","8",
B00CUIC7AG ,""Trust" Brown Tile Design Bible / Book Cover - Proverbs 3:5" ,"Christian Art Gifts" ,"Amazon.com","Office Products","16.01","5.39","10.620000000000001","0.51","Standard (Large)","123","4.5","33737","44","704.44","40","9",
